value
85589
47004
58929
85864
62442
106005
156543
10523
114072
44521
47283
40272
84097
103345
109319
166123
1607
39740
46308
58446
136883
102267
97967
53082
94169
119743
12957
112940
136999
47470
92674
115718
40062
64316
64750
102058
83339
165450
101891
51019
116111
75782
145912
109233
28083
155379
169069
62450
45194
73094
68595
46212
68494
98407
61937
78350
110962
48022
79456
16858
19976
71215
4882
159819
116658
20423
96897
47003
67691
94115
44252
39528
155484
51383
116085
74335
82831
81
192070
6
12
53
68
94
347
386
514
547
557
559
693
720
736
769
783
891
902
921
948
958
976
999
1046
1135
1142
1148
1177
1312
1380
1392
1467
1484
1512
1599
1621
1697
1715
1738
1800
1824
1842
1917
1960
2065
2076
2111
2177
2354
2406
2480
2610
2669
2670
2671
2962
3026
3027
3102
3212
3252
3256
3268
3287
3294
3425
3437
3472
3627
3649
3689
3898
4041
4072
4131
4137
4186
4228
4274
4480
4494
4548
4743
5076
5081
5129
5130
5153
5200
5220
5273
5323
5334
5457
5526
5626
5631
5661
5699
5711
5961
5997
6038
6079
6144
6249
6371
6436
6557
6591
6773
6960
6987
6988
6990
7223
7264
7411
7457
7568
7679
7691
7740
7802
7955
7981
7990
8180
8284
8288
8390
8412
8538
8565
8615
8760
8883
9205
9243
9278
9320
9350
9384
9520
10074
10408
10659
10918
10930
11085
11241
11366
11899
11943
12028
12053
12074
12098
12121
12272
12439
12443
12507
12545
12620
12826
12842
12851
12926
12950
13012
13027
13083
13123
13198
13267
13271
13446
13875
13918
14106
14383
14397
14416
14456
14458
14525
14544
14629
14651
14669
14801
14851
14949
15252
15272
15370
15555
15560
15603
15791
15840
15929
15936
16060
16163
16252
16370
16394
16462
16652
16798
16820
16914
16940
17252
17323
17462
17476
17483
17575
17604
17707
17808
17879
17885
17931
18118
18147
18181
18204
18284
18306
18328
18390
18991
19081
19098
19198
19339
19392
19465
19508
19552
19580
19584
19637
19686
19758
19819
19823
19869
19893
19946
20114
20203
20244
20407
20471
20474
20506
20545
20562
20575
20746
20783
20882
20983
21017
21024
21088
21098
21274
21361
21711
21821
21828
21840
21879
21891
22002
22213
22227
22243
22273
22369
22493
22506
22528
22552
22558
22620
22637
22904
22929
22940
23065
23745
23883
24106
24158
24276
24446
24491
24498
24579
24672
24722
24906
24968
24979
25050
25124
25181
25217
25741
25780
25907
25982
26032
26060
26080
26169
26219
26275
26394
26508
26535
26646
26648
26675
26676
26874
26983
27386
27429
27794
27839
27870
27877
27965
28033
28172
28337
28374
28414
28416
28508
28515
28702
28708
28859
29044
29080
29111
29142
29192
29330
29397
29430
29555
29692
29766
29786
29906
29931
30018
30057
30111
30328
30343
30445
30483
30584
30590
30659
30756
30828
31026
31190
31268
31287
31330
31394
31450
31522
31575
31590
31734
31812
31989
32065
32118
32211
32230
32235
32286
32359
32698
32760
32866
32869
32904
32972
33180
33262
33376
33380
33401
33503
33578
33622
33787
33987
34024
34213
34288
34345
34450
34507
34593
34754
35228
35251
35273
35330
35666
35697
35776
35842
35843
35864
35899
36051
36161
36213
36301
36415
36489
36568
36631
36884
36973
37085
37120
37179
37301
37318
37377
37575
37641
37648
37876
37915
37990
37998
38046
38085
38222
38231
38269
38664
38831
38844
38855
38978
39019
39038
39040
39191
39248
39398
39497
39509
39761
39847
39858
39983
39985
40075
40335
40337
40479
40489
40554
40577
40592
40727
41151
41201
41578
41590
41610
41705
41760
42012
42105
42521
42528
42607
42663
42667
42687
42722
42851
42906
42919
42943
43021
43041
43058
43097
43175
43199
43284
43311
43327
43396
43428
43488
43565
43603
43779
43798
43808
43912
44124
44167
44377
44404
44482
44657
44667
44681
44803
44833
44951
44962
45004
45125
45159
45259
45285
45301
45348
45529
45591
45749
45832
45840
45852
45860
45920
45933
45942
45989
46071
46226
46233
46257
46277
46350
46359
46368
46383
46418
46539
46680
46705
46716
46784
46785
46833
46840
46855
46877
46967
47014
47019
47042
47055
47073
47158
47179
47265
47425
47427
47548
47652
47693
47698
47746
47765
47848
47872
47890
47930
47947
47950
47964
47976
47978
47983
48010
48016
48126
48182
48304
48352
48621
48717
48880
49099
49232
49449
49463
49544
49762
49779
49790
49836
49878
50058
50336
50581
50597
50659
50713
50747
50834
51042
51175
51214
51516
51693
51769
51811
51851
51879
51928
51931
52004
52051
52056
52073
52199
52209
52234
52248
52343
52357
52554
52604
52638
52697
52718
52749
52757
52758
52794
52884
52918
53140
53168
53263
53288
53302
53324
53354
53447
53692
53743
53783
53833
53879
54055
54082
54108
54326
54342
54372
54455
54502
54514
54601
54794
54847
54920
55064
55112
55194
55225
55276
55313
55321
55327
55334
55346
55473
55567
55897
56034
56166
56289
56310
56428
56512
56554
56605
56637
56714
56768
56848
57006
57135
57138
57272
57381
57467
57485
57610
57612
57675
57680
57725
57945
58062
58300
58340
58365
58424
58527
58616
58683
58684
59165
59234
59543
59578
59609
59676
59836
59978
60062
60108
60174
60304
60352
60462
60608
60675
60690
60711
60724
61043
61060
61160
61201
61351
61421
61557
61761
62053
62208
62216
62266
62367
62607
62636
62696
62754
62921
62927
62971
63177
63197
63269
63289
63368
63387
63421
63554
63621
63903
64189
64213
64403
64430
64493
64502
64532
64634
64674
64827
64907
64927
65037
65041
65169
65211
65212
65224
65230
65255
65300
65362
65381
65520
65881
66141
66215
66249
66275
66332
66368
66455
66483
66484
66568
66594
66670
66676
66711
66750
66850
66898
66950
67083
67188
67332
67412
67670
67900
67935
67969
68009
68021
68022
68032
68033
68135
68177
68218
68235
68254
68340
68748
68855
68881
69008
69067
69160
69318
69319
69452
69568
69629
69689
70053
70276
70537
70996
71667
71889
72293
72343
72477
72496
72682
72751
73062
73071
73127
73152
73268
73476
73504
73580
73687
73796
73807
73881
74020
74158
74319
74323
74401
74619
74638
74769
74832
75151
75317
75364
75372
75452
75475
75505
75608
75654
